@timestamp,agent.type,host.ip,host.os.version,input.type,log.file.path,message
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET /robots.txt HTTP/1.1"" 404 1014"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""PROPFIND / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.2 - - [23/Oct/2022:14:08:21 +0000] ""GET / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.2 - - [23/Oct/2022:14:08:21 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET /nmaplowercheck1666534101 HTTP/1.1"" 404 1042"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""PROPFIND / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET / HTTP/1.0"" 200 2469"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET / HTTP/1.0"" 200 2469"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET /evox/about HTTP/1.1"" 404 1014"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""PROPFIND / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:08:21.644",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/catalina.2022-10-23.log,23-Oct-2022 14:08:21.355 SEVERE [ajp-apr-8009-exec-10] org.apache.coyote.ajp.AjpMessage.processHeader Invalid message received with signature 18245
"Oct 23, 2022 @ 22:08:21.644",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/catalina.2022-10-23.log,23-Oct-2022 14:08:21.358 SEVERE [ajp-apr-8009-exec-1] org.apache.coyote.ajp.AjpMessage.processHeader Invalid message received with signature 5635
"Oct 23, 2022 @ 22:08:21.644",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/catalina.2022-10-23.log,23-Oct-2022 14:08:21.359 SEVERE [ajp-apr-8009-exec-2] org.apache.coyote.ajp.AjpMessage.processHeader Invalid message received with signature 32926
"Oct 23, 2022 @ 22:08:21.644",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/catalina.2022-10-23.log,23-Oct-2022 14:08:21.360 SEVERE [ajp-apr-8009-exec-3] org.apache.coyote.ajp.AjpMessage.processHeader Invalid message received with signature 18245
"Oct 23, 2022 @ 22:05:56.744",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:05:44 +0000] ""POST /login HTTP/1.1"" 200 104"
"Oct 23, 2022 @ 22:05:41.604",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:05:25 +0000] ""GET / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""GET / HTTP/1.0"" 200 2469"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""GET /favicon.ico HTTP/1.1"" 404 1016"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""HEAD / HTTP/1.0"" 200 -"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""CONNECT www.wikipedia.org:80 HTTP/1.0"" 400 -"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""GET / HTTP/1.0"" 200 2469"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""CONNECT www.computerhistory.org:80 HTTP/1.0"" 400 -"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""GET / HTTP/1.0"" 200 2469"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""GET / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""GET / HTTP/1.0"" 200 2469"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""PROPFIND / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""GET / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.2 - - [23/Oct/2022:14:04:22 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.2 - - [23/Oct/2022:14:04:22 +0000] ""GET / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""GET /nmaplowercheck1666533862 HTTP/1.1"" 404 1042"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""POST /sdk HTTP/1.1"" 404 1000"
