@timestamp,agent.type,destination.bytes,destination.ip,destination.port,event.type,host.ip,host.os.version,network.packets,network.transport,network.type,source.ip,source.port
"Oct 23, 2022 @ 22:53:00.003",packetbeat,476.2KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,673",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:53:00.003",packetbeat,256.2KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,179",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:53:00.000",packetbeat,262KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,238",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:52:50.802",packetbeat,448.8KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,126",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:52:50.003",packetbeat,255.7KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,175",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:52:50.002",packetbeat,475.7KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,669",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:52:50.000",packetbeat,261.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,234",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:52:40.801",packetbeat,448.3KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,122",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:52:40.003",packetbeat,475.2KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,665",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:52:40.002",packetbeat,261.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,230",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:52:40.002",packetbeat,255.2KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,171",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:52:30.801",packetbeat,447.8KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,118",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:52:30.003",packetbeat,254.7KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,167",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:52:30.003",packetbeat,474.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,661",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:52:30.000",packetbeat,260.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,226",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:52:20.802",packetbeat,447.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,114",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:52:20.006",packetbeat,474.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,657",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:52:20.003",packetbeat,254.3KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,163",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:52:20.001",packetbeat,260.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,222",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:52:10.802",packetbeat,446.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,110",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:52:10.003",packetbeat,473.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,653",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:52:10.003",packetbeat,253.8KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,159",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:52:10.001",packetbeat,259.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,218",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:52:00.801",packetbeat,446.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,106",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:52:00.006",packetbeat,473.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,649",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:52:00.003",packetbeat,253.3KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,155",tcp,ipv4,172.16.0.3,41484
